,Score Compound,Score Negative,Score Neutral,Score Positive,Sentence
6670,0.0521,0.103,0.768,0.129,was  the 1930s  ties in  dissertation  i  had not had time to in  for  me  mother never  failed to guilttrip bijans family  fathers footsteps i  was  taken care of store for  her  kill  that  in  at  a  1930s
6671,-0.4767,0.205,0.795,0.0,is this what  is  in  mother was  in a terrible state for  reasons
6672,0.0,0.0,1.0,0.0,she genuinely believed that  government agents  bijan especially  year president  rights in the state icy
6673,-0.3022,0.065,0.897,0.038,my daughter for no good  she d lament muttering under her breath that he  of our  my dis  back to writing  to get  on mike gold and the proletarian writers of the  married two weeks and he leaves  her that  find a place  with her to work on  new york the locus of most radical  good place  a  new york where my brother was  would move  i  stayed on for two  bijans  when he  jimmy  traveled in europe
6674,-0.0516,0.135,0.738,0.127,released and the treatment of those in  jails  to imple  a human  that the rights outlined  political prisoners  were  improved
6675,0.4404,0.087,0.755,0.158,in the rain while poets  where the lack of freedom of expresthe last night soldiers stood outside  and writers spoke of suppression
6676,0.2732,0.037,0.888,0.075,and deliberately ignorant of  and yet everything was there  for us to  khomeinis book the rule ofjurisprudence called for the creation  of a theocratic  state ruled  by  nounced womens suffrage  a representative  as a  form of  of god he had de  prostitution he  had made  countless pronouncements against minorities especially bahais and  jews
6677,0.8481,0.059,0.67,0.271,we welcomed the vehemence of khomeinis rants against impe  rialists  and the shah and were willing to overlook the  were not delivered by  a  fact that they  champion of freedom
6678,-0.0516,0.04,0.96,0.0,plied in his public statements that once he returned to iran he retire to the  holy city of  qom  and leave the  affairs  of the  im  would  state to  politicians
6679,0.3182,0.0,0.813,0.187,the confederation of iranian students planned huge demonstrations in  washington d
6680,0.0,0.0,1.0,0.0,c
6681,0.4215,0.0,0.912,0.088, on november united states bijan  state visit to the  15 1977  who had  france went directly to washington and  i  during the shahs  just  joined  returned from  him  there
6682,0.0,0.0,1.0,0.0,nearly  two thousand students gathered around the white house escorted by  mounted tions  police
6683,-0.8316,0.212,0.788,0.0,different fac  a few of the shahs de  fenders had gathered close to the  white house lawn  drowned out by our  to the shah  slogans  death  cia  their voices  agents u
6684,0.0,0.0,1.0,0.0,s
6685,0.0,0.0,1.0,0.0,ad  visors out of iran iran the next vietnam u
6686,0.0,0.0,1.0,0.0,s
6687,0.0,0.0,1.0,0.0,get out of iran
6688,-0.5984,0.189,0.811,0.0,she made another i  phone  call to bijans  family to complain about her daughters  frail  and her soninlaws utter disregard for her wellbeing
6689,0.296,0.0,0.694,0.306,state  a  few days  join bijan
6690,0.0,0.0,1.0,0.0,we  later she  returned to iran and  finally settled in  i  went  to  d
6691,0.0,0.0,1.0,0.0,c where he went  d
6692,0.0,0.0,1.0,0.0,c
6693,0.0,0.0,1.0,0.0,again to  work  to  for a  my dissertation
6694,0.5719,0.0,0.926,0.074,congress where  i  some mornings  i  would go  to the library of  spent delicious hours looking through old micro  things ive been silent about films of  and  new masses and other publications from the me up after work  the masses the  my  thirties for  213    dissertation
6695,-0.743,0.201,0.799,0.0,n august 1978 cinema rex in abadan a port city on the edge of the  oil fields  was  on  set  fire  dred people were scorched to death
6696,-0.8885,0.313,0.567,0.121,and over four hun  shahs government denied it  was the work of the  both the secular and religious opposition  re  fired  back accusing the regime of committing the crime with the express  purpose of blaming them to undermine popular sympathy
6697,0.0,0.0,1.0,0.0,it  was  sig  had taken place during the holy month of ram  few people believed what the government said and the atrocity  became  a  symbol of the lengths  to preserve  to  which the shahs regime would go  power
6698,-0.6887,0.2,0.741,0.059,photographs of innocent victims  gone to the movies that afternoon stared  at us  a  who had  from the pages of news  papers and the pamphlets that appeared denouncing the perpetrators  of  most heinous crime
6699,0.0516,0.253,0.542,0.205,after the revolution the families of the victims  to  their  demanded  justice
6700,-0.836,0.363,0.574,0.063,dismay and surprise the new islamic government ignored  them their protests and  sitins  were attacked and several prosecutors  resigned in the middle of the investigations
6701,-0.6808,0.184,0.76,0.055,in  some  trumped up  guilty and innocent alike  cases  one  it  was  officer  directly involved claimed  blatantly obvious that the charges  who was found  even been present in the city  were arrested and exe  at the time
6702,-0.6956,0.235,0.765,0.0,guilty and executed  were  had not  a young man who had been  he had confessed to the authorities but no  one would take him seriously
6703,-0.743,0.344,0.656,0.0,the  the shahs police had been guilty of in this case  was bad judgment
6704,-0.4215,0.207,0.618,0.175,greatest crime  panicked and overwhelmed they had acted foolishly seeing a group trying to light a small  fire in a  corner and hoping to catch the culprits  before they could escape they ordered that the doors be shut until the  by  firefighters arrived
6705,-0.34,0.167,0.833,0.0,then the fire  had spread  to the  whole building  and burned almost everyone
6706,0.3182,0.0,0.753,0.247,where was i when we  discovered the truth
6707,0.0,0.0,1.0,0.0,had cultivated  a  from his obscurity in  network of clerics and  allies  karballa  where he  suddenly he was thrown  onto the world stage
6708,0.0,0.0,1.0,0.0,in  court  january the ministry of in  tehran had published an  article in the official  etelaat  under the  newspaper title  black  and red imperialism
6709,0.5267,0.0,0.848,0.152,the coalition of islamic  ending the  al fetr  added  societies  to the  slogan liberty and independence the words islamic rule
6710,0.1955,0.119,0.671,0.21,this desperate situation was further proof to methat marriages did not  cut your losses  i  work
6711,0.4215,0.0,0.641,0.359,he  meini from gaining more power
6712,0.0946,0.09,0.776,0.135,2iy    i  like so  nothing  and what  savak he kho  will prevent  many  others  was  for  than the overthrow of  less  started to recount with the righteousness at  tendant on such extreme positions  all  of the crimes committed by the  me and said with disdain that i need not trouble he did not pursue the argument which of course fired me up even more
6713,0.0,0.0,1.0,0.0,bijan looked at  myself telling him about the shahs crimes
6714,0.7506,0.0,0.738,0.262,n february to  i  1  979  khomeini made  a  triumphant return  tehran where millions flooded the streets to welcome him
6715,0.0,0.0,1.0,0.0,they picked up and left for america while his younger brothers majid and mehdi who had been associated with a radical marxist group returned home from the u
6716,0.0,0.0,1.0,0.0,s
6717,0.5574,0.06,0.792,0.149,for the young generation my generation we who had such romantic longings for revolutions and upheavals the image we saw in the moon was that of a future where in unison with the proletariat we would liberate the country and live happily ever  wrong  after
6718,0.5574,0.0,0.907,0.093,in a manuscript addressed to his wife majid describes  how  their  romance flourished during those unreal days between february 1979  when  when he  ayatollah khomeini returned to iran and february  asserted his  power over the country
6719,0.4019,0.0,0.899,0.101,that day majid cles to the  ezatt hussein  farahabad garrison  they climbed  inside a tank  and noushin rode  their  motorcy  to support the insurgent soldiers
6720,-0.1531,0.223,0.573,0.204,the  dreaded evin prison jailers  had  left in  great  haste and in the kitchen they found huge colanders halffilled with rinsed rice
6721,-0.652,0.372,0.628,0.0,next they went toward another  power  is  not a divine  gift
6722,-0.296,0.18,0.82,0.0,prisons garrisons and royal palaces had buildings with no extraordinary protection
6723,-0.4404,0.087,0.913,0.0,it put  beard to hide  its  human  to organize the  on  the  all  the magic was become naked  the shah  ministers  were of the human race with no  new power  a clerical turban  has sprayed a  new  and garb and grew a  origin
6724,0.0772,0.0,0.954,0.046,in his speech introducing bazargan he referred to himself as a  person  that  i  who had  authority through the guardianship veayat  have from the holy lawgiver the prophet
6725,0.0,0.0,1.0,0.0,to consolidate his  power khomeini began to form parallel organizations to the army  and police forces revolutionary committees and revolutionary militia  armed organizations whose power was unspecified and unlimited
6726,0.0,0.0,1.0,0.0,it wasnt  long before the committees became the guardians of  our morality and began arresting citizens for a whole range of crimes  from blasphemy music
6727,0.0,0.0,1.0,0.0,to possession of alcoholic beverages  on february  decided to declare  1  1th the  itself neutral  and ordered  return to base
6728,0.6447,0.0,0.889,0.111,and western  supreme military council unanimously all  military personnel to  khomeini and  his provisional  gov  for several weeks despite the protests  from humanrights organizations and from the moderate elements within the  new  revolutionary regime hundreds of officials of the old  regime were summarily executed
6729,0.7506,0.155,0.412,0.433,attacked unveiled  the  sitins  freedom  is  shouting  women  freedom  is  global
6730,-0.8225,0.17,0.802,0.028,family protection law was soon abrogated and religious laws be  came  the law of the land lowering the legal age of marriage for  women from  eighteen to nine legalizing polygamy and temporary  marriages defrocking female judges and introducing stoning to  death as punishment for adultery and prostitution
6731,0.7712,0.0,0.888,0.112,she had received as a  my  with bijan for tehran  my parents  dissertation in the i  had few  illusions  had been summoned  mother was ordered  to repay the  wages  member of parliament and most of the property  name was confiscated but they were not jailed or executed like many other government officials of their rank
6732,0.4019,0.0,0.87,0.13,my mothers votes  in their  so  against the capitulation law and family protection law as points in her favor
6733,0.6486,0.0,0.841,0.159,fathers life  and  his secret service records  were counted  was saved because of his  which revealed  his alleged  jail  time  sympathy  for the protestors during the  june uprising of 1963
6734,0.0,0.0,1.0,0.0,sometimes he  would remind us with wonder  that mr
6735,-0.7096,0.346,0.532,0.122,time in prison would save  him from  rahman had  a bigger disaster  mother would shake her head knowingly
6736,-0.5994,0.07,0.93,0.0,my parents moved  to a  new house  in the  northern part of tehran opposite what was once called the american hospital  which would soon be turned into  a hospital for the veterans  when we moved back bijan and i decided to the arrangement was intended to be temporary until  of the iraniraq war
6737,-0.296,0.053,0.947,0.0,many tempo  mohammad  had  224  aar nafisi  i  own  his  the  on fridays  place but he visited often especially  which were  ents coffee sessions  large  room on  the  ground  charged and heated debates the  my par  for  in full force
6738,0.5106,0.035,0.888,0.077,father  still  his thesis that if  had high hopes for the revolution he kept repeating  we  could get rid of the two oppressive forces of ab  monarchy and orthodox  solute  ate secular felt that  and religious  by strengthening the moder  religion  forces  we would be on  prime minister bazargan had the power and the  the democraticminded groups and individuals into  lusion that  at  was soon put  this point  he  the right course
6739,-0.2732,0.324,0.36,0.317,number of colleagues and  friends  were  killed  mr
6740,0.6418,0.0,0.818,0.182,amirani the editor in chief of khandanyha  my  by the new  father so bravely during his years in  goodnatured mr
6741,-0.6486,0.195,0.746,0.059,khoshkish  my  jail  by the regime  who had  supported  and the softspoken and  mothers bashful suitor  who had  been the head of the central bank were both murdered without trial or formal charges
6742,-0.8316,0.148,0.795,0.057,things ive been silent about  who had been instrumental  parsa general pakravan  saving ayatollah khomeinis  and many others  who had  cluding some like  my  life in  in fact  incidentally in  1963 our old foe general nassiri  been against the shahs system  cousin said  225  who had  in  spent time in the shahs  later the killings would extend to ordinary people whose sin was  jails
6743,0.2732,0.0,0.923,0.077,n the first friday  in question  the time the  1979  4  the regime rounded up  be prostitutes as well as some minori  to  especially the bahais
6744,0.0,0.0,1.0,0.0,she met her on a  visit to  where ziba khanoom was on the administrative  mother had taken an  staff
6745,-0.4939,0.088,0.868,0.044,  chapter  can cite the dates when the war with iraq tember  and ended august  22 1980  casualties  were high but  20 1988  when  feel helpless  i  and  it  i  started sep  can  comes  24  tell  you the  to describing  the subtle changes that transformed the fabric of our lives so that  down  could walk  the familiar streets of my childhood and feel like an  utter stranger
6746,0.6697,0.0,0.757,0.243,now i had  more freedom  to  make us more  returned and nothing was the same
6747,-0.7618,0.228,0.651,0.121,cannot think of that this  was  a  the iraniraq  war without remembering  war between two governments who were simultane  ously carrying out a brutal campaign against their tollah  khomeini had  called the  war  a blessing for  own him  people
6748,-0.3612,0.105,0.831,0.064,in his  mind  now  vader while  lasted  some of tervals  was  at the  same time the  name of national  sent in the  war  whole nation would gather against the foreign  the  state  security
6749,0.3612,0.0,0.884,0.116,on  to us with a sign  doesnt the koran  their forehead  state that  satan  is  tempter with an insidious smile
6750,-0.296,0.095,0.905,0.0,i  re  finding a refuge in a nearby bookstore seconds before the  owner locked  the doors and  we  to avoid the bullets
6751,-0.6249,0.267,0.733,0.0,many  stood behind them representing different student  groups and tendencies would be expelled arrested and executed
6752,-0.3612,0.116,0.884,0.0,start criticizing the  regime  could any of us have foreseen  how some would become enamored of jane austen and f
6753,0.3774,0.0,0.881,0.119,scott fitzgerald spinoza and hannah arendt and begin to question the tenets of the regime they had so ardently supported
6754,-0.743,0.326,0.674,0.0,soon they would be asking for secularism and democracy the ones arrested jailed and executed
6755,-0.3612,0.122,0.878,0.0,2j2  aar nafisi    the turmoil just outside the gate  when  i  heard a loud whisper behind  me professor
6756,-0.3818,0.13,0.87,0.0,i  believing in  the point of novels  end of the term  girls in  books immorality she  after class to protest the  ing for four hundred years
6757,-0.1531,0.061,0.897,0.042,was  at  the pause between my  times so long that  i  last  sentence and her response  thought she had forgotten  we were  con  things ive been silent about  her  versing
6758,0.4404,0.0,0.791,0.209,i  funny  the  most basic choices  where  to  now that i  work
6759,0.0,0.0,1.0,0.0,and the term ended
6760,0.0,0.0,1.0,0.0,many  clerics did not believe that the religious  establishment should interfere directly with the affairs of state
6761,-0.6124,0.284,0.612,0.104,for centuries the clerics  had exerted power by pressuring the  state  and  posing as supporters of the poor and the needy
6762,-0.4767,0.107,0.893,0.0,although khomeini seized  power in  religion  the  name of tradition his  was modern and according  to  ideological interpretation of  some antitraditonal  influ  enced by modern totalitarian ideologies
6763,0.4019,0.0,0.93,0.07,in tabriz a million people reportedly participated in demonstrations in  support of ayatollah shariatmadari tion of religion  and  state  which he  who was insisted  calling for the separa  was one of the corner  stones of shia islam
6764,-0.4939,0.314,0.686,0.0,the venerable ayatollah  shariatmadari was defrocked and jailed
6765,-0.9231,0.475,0.44,0.085,his supporters were arrested  and some murdered and he died while under house ber that  when khomeini was  in trouble  arrest
6766,0.6249,0.06,0.792,0.148,message was sent by the regime to the  faithful to survive  they would have to be loyal to only one interpretation of the to accept the  father  new political  the  way  no  end of islam  in  our country and he  foreign power he said could destroy islam  these people have
6767,0.7269,0.0,0.823,0.177,she would count all  at the universities to  from participating  in sports  activities at  to join her  and her  they are  the injustices  committed against women banning them from serving ciary  and  faith  of the clergy
6768,-0.25,0.062,0.938,0.0,rtfle  in the judi  abrogating the family protection  law she conveniently forgot that she had herself voted against  it  lowering the age of marriage and on and on she would go
6769,0.3818,0.066,0.825,0.109,and then what did your haideh say  to  egging  me  on  the committee  the cultural revolution she ask  friend  would  on and before  i  could say anything she would turn  and say triumphantly  woman  and  this  azars colleague gets up  and says you have turned the universities the bastions  into torture houses
6770,-0.128,0.116,0.775,0.108,felt that this  was not the time  237    to fight for such  unimportant matters when the question of independence and the antiimperialist struggle  morning shirin  was  was  said that ayatollah  rastin while the  version  on  one particularly memorable  khomeini represented the true  my  faith  tell  us  who  is  my  a false  who  mother
6771,0.0,0.0,1.0,0.0,khanoom raised the question of authentic islam
6772,-0.7464,0.285,0.533,0.182,sometimes  though we had  in  i  it  appeared that  al  more opportunities and freedoms than our mothers  had our problems were basically the same abusive husbands aborted love guilty feelings about the conflict  between work and family un  resolved sexual problems and resentments
6773,0.6369,0.0,0.724,0.276,i  need of conversations that did not end  had come  to  freedom
6774,0.0,0.0,1.0,0.0,is  he was ever more jail
6775,-0.5994,0.231,0.769,0.0,there  in sight to the war  nor  long after  cated and  he came  said
6776,-0.25,0.234,0.638,0.128,in hiding  escaping the country  my own  situation
6777,-0.5214,0.138,0.862,0.0,and now that the world had become so puzzling    things ive been silent about so hostile  where  else  could  i  go
6778,0.8402,0.099,0.634,0.267,if  you  call  in  hand he offered too convoluted for  war and peace or a  he said kindly then you cannot  call  tale  of two  cities a novel  these books novels as well with  out a plot with such vague characters
6779,0.0,0.0,0.0,0.0,
6780,0.0,0.0,0.0,0.0,
6781,-0.4588,0.176,0.824,0.0,both novels were banned by the islamic republic for their sexually and  explicit scenes  gion
6782,-0.921,0.336,0.664,0.0,i  could not help  between the impotent torturers and the  tured murderers of the two novellas and those vigilantes  tor  who flogged  teenage girls for showing a bit of hair
6783,0.0,0.0,1.0,0.0,where would we go from here
6784,0.0772,0.142,0.709,0.149,true these free zones were  threatened constantly by a state that could at any time of day or night raid  our houses and confiscate the alcohol gambling cards makeup  forbidden books and videos
6785,-0.6369,0.221,0.704,0.075,they could  arrest us  on charges of im  and yet in those days there was a suppressed excitement that or now that i think of it perhaps the two belied the anxiety and fear morality
6786,-0.8591,0.186,0.75,0.065,while the country was torn apart  things ive been silent about  by war and besieged by repressive laws daily  arrests  245    and executions  beneath the surface just underground there were mutinous acts and  shows of resistance that constantly frustrated and subverted the  power of the with  an act as normal and mundane as having a party women where drinks were served music was played  state
6787,-0.6547,0.179,0.821,0.0,i was not doing any of these but what  i  amoo  was going  to  do was not  less  of a crime
6788,-0.4939,0.147,0.789,0.063,said shared in the exhilaration of what had not existed be  we were trying to preserve what had been taken away from us and there was a sense of jaded desperation to this
6789,0.1027,0.0,0.938,0.062,we had reached a stage where we wanted to preserve what we had not strive for what we might dare to fore
6790,0.0,0.0,1.0,0.0,in  our case  imagine
6791,-0.0516,0.158,0.693,0.149,us for drinking and  denouncing the decadent  them around the house  jailed for  he  at  friendlier
6792,-0.7964,0.251,0.708,0.041,agen  with the islamic regime that culminated  after confrontations  bloody demonstration during which many of  porters  political  organization had been  their groups sup  were arrested and summarily executed
6793,0.4767,0.0,0.914,0.086,as them  248  aar nafisi    in tehran said and fariba were taken in for a few months by a couple  who were  secular  and she opposed the ideology and  also  our close friends
6794,0.4364,0.17,0.577,0.253,little  only anxiety on  is  will  i  have  uneasily  a feeling in  your case  it is  love
6795,-0.6705,0.128,0.837,0.035,then they  and  we  walked down  bend until  heard the front door slam and they emerged  i  orphaned children in a  terrible fairy tale  shook  the steps  stood up there watching them appear and disappear  i  249    at  each  like  two  walking very close to one  another almost touching he with his ivory shirt she with her multi  we never saw them again
6796,-0.5994,0.394,0.606,0.0,of marriage 1975 date of death blank
6797,-0.5106,0.091,0.909,0.0,for almost two years their parents would come to tehran from esfahan every  month and make  their  way  to  evin prison  in  order to in  z5o    aar nafisi  quire about said and fariba
6798,-0.6486,0.306,0.694,0.0,they escaped the country they  had no reason  their parents  they had been arrested
6799,-0.6705,0.386,0.457,0.157,daily arrested  friends  had been  and  killed  or had escaped the country
6800,-0.5994,0.394,0.606,0.0,later  ory  now  on  their sons death
6801,0.0,0.0,1.0,0.0,than two years after storming the  prisons  my  cousin majid was also on the run
6802,-0.4767,0.22,0.78,0.0,his sister noushin and their spouses hussein and ezatt had been arrested
6803,0.0,0.0,1.0,0.0,hussein  was executed
6804,-0.2263,0.213,0.787,0.0,noushins execution was delayed because she was pregnant
6805,0.4019,0.0,0.597,0.403,her mother  a painter  freed
6806,0.4019,0.0,0.912,0.088,ing she didnt  had put small  she told us that when she was called  know whether  ezatt majids wife  in that  morn  she was to be freed or executed
6807,0.0,0.0,1.0,0.0,was executed
6808,-0.34,0.112,0.888,0.0,majid  writes of wandering around the city after her arrest the  he and his comrades had  felt  they had conquered
6809,-0.6597,0.151,0.799,0.05,after her execution she was buried in a special cemetery assigned to political prisoners and minorities called the cemetery of the infidels  where bodies were thrown  ited the spot  with her father  marking her grave  it is  who  into  told  eight paces  unmarked  him  that he  graves
6810,0.0,0.0,1.0,0.0,majid vis  had  his  own way of  from the gate and sixteen paces  toward the wall
6811,0.0,0.0,1.0,0.0,she was executed and buried collectively with two  women and fifty men
6812,-0.7579,0.173,0.827,0.0,the warrior  rostam son of hormozd gives a poignant speech predicting the sults  of that war  sent  is  known  as the battle  i  who says our pre  not already written by our past
6813,0.5106,0.105,0.736,0.159,the winter  counterfeit  and the spring  will pass mankind unmarked no one will bring  the wine  to celebrate  such moments then  men  instead theyll spill the blood offellow  majid went into hiding and later l
6814,0.0,0.0,1.0,0.0,a
6815,0.0,0.0,1.0,0.0,  where  his older brother  since the early seventies  sitting
6816,-0.7469,0.196,0.804,0.0,he had not written poetry  when he went  into politics but he started to  write again three days after ezatts death to the
6817,-0.5994,0.178,0.822,0.0,i  wanted  down to  his face  avenge your death  he writes i wanted to have you close to me
6818,0.0772,0.108,0.748,0.144,and  keep us in a  to  state  remained frozen in time  after saifis death  dreams and she acted like a young next day  my  father  girl  of his  jilted bride
6819,0.128,0.141,0.731,0.128,in  to leave  the  first  a successful public fig  right to leave the  when he was  seemed ungrateful  jail  my mother would  he says that every  some consideration prevented him  were too young
6820,-0.296,0.115,0.885,0.0,would he have  jail  woman who had there  was no time  someone who had  suf  time with him
6821,0.0,0.0,1.0,0.0,soon  after bijan  and  i  returned from america father sold the house and built a threestory building with three separate apartments one each for  mother and me
6822,0.4939,0.0,0.868,0.132,his attitude was for years  i  my brother my  have taken care of her  256  aar nafisi    now  its  your turn
6823,0.0,0.0,1.0,0.0,the kitchen and hall opened into an internal stair  but there cess to case
6824,0.3182,0.0,0.796,0.204,observer bijan or shahran  fair  locked these doors which  there
6825,0.5994,0.0,0.795,0.205,the revolution had taken  away her peer support group her freedoms  now without her husband  who  as father steward accountant her
6826,-0.8062,0.284,0.646,0.07,  its  end  her time  left  as a  mem  her more embit  alone with her pride and her anger and her  left  sense of solitary injustice
6827,0.7017,0.0,0.707,0.293,he es  corted  he  news  me  said  to the  room where  our brave  little  very determined
6828,-0.5994,0.106,0.894,0.0,the war continued for another  aar nafisi  260 i  three years and during the last year incessant  did  i  bombings and many fled the  when tehran was city  the target of  we stayed on
6829,0.9217,0.072,0.68,0.248,i  tainted  think in fact they have not changed much  and dara with  infinite curiosity  think of my  i  by  mother  tragic but  right  way  reality  we  fathers  his quiet desire to  dream of a happy marriage  now    my  for  when we  had taken  lost his  of dignity and  indulge in a dream
6830,-0.8658,0.244,0.756,0.0,she had destroyed her own marriage and when there was a danger that my father might be arrested  him  driven voice  by the revolutionary guards she had given him to the revolutionary court
6831,0.0772,0.0,0.794,0.206,once  a startling question  of me
6832,-0.5719,0.121,0.879,0.0,but  prefer  said nothing  and he did not pursue the  when a few weeks later he broke off with  i  a question wasnt he going  ziba  i  subject
6833,-0.3626,0.239,0.761,0.0,i  bought some from her and  felt  slightly guilty
6834,-0.7269,0.181,0.688,0.131,he  tried to  convince  me that she was op   262  aar nafisi    who  pressed by her horrid husband  held her prisoner and did not  my father always seemed to need an excuse with my mother it was her dead mother her ter  allow her to use her talents
6835,0.25,0.0,0.778,0.222,she had been granted a divorce in absentia
6836,-0.3182,0.054,0.946,0.0,many  notices and she had ignored  which informed her  one  thing  all  he has  my father insisted that  the  court had served her  including the  last notice  that if she did not appear in court the divorce  would automatically go through
6837,0.0,0.0,1.0,0.0,summoned  to court  my parents  had never quarreled about was money
6838,-0.8126,0.261,0.739,0.0,my  my  me  brother and  left  had sold  in jail  but she did not question his in  parents apparent disdain for careless too
6839,0.2732,0.082,0.816,0.102,near the caspian sea out of his  own money and  later  two  islands  which he shared with some friends and some acres of land by the  my  caspian with  pay  his debts  he ever had  uncle  when he  in  some of which he had been forced  left jail
6840,0.6369,0.0,0.915,0.085,he made more money in business  government and  ents had transferred  to sell to  than  my brother and i knew that our par  most of the land and property they owned  to  our  names including a large apartment in one of the best locations in paris
6841,0.296,0.0,0.945,0.055,he  his adult life  all  sent in letters  and he had taken  his share  and given  with detailed accounts of what had been  purchased and what had been spent and insisted that he had not taken anything with him
6842,-0.3612,0.054,0.946,0.0,but in the meantime he had us authorize him to sell  had power of attorney over  the apartment in france and he  the  all  me and my brother and after my brother me alone for not defending her for conspiring with father to  other property
6843,0.4019,0.066,0.796,0.138,despite  genuinely  felt  my sympathy and the fact that for the first some of her  she was justified in  grievances  i  could not bring myself to extract the power of attorney from him
6844,0.4588,0.0,0.909,0.091,in its cage  one morning  she  and that whole day and night she  after the persian  new year and father took negar  where they buried the canary by  his favorite rosebush
6845,0.0,0.0,1.0,0.0,the picture of a  to  twenty minutes from our house where  outskirts of tehran about  there  i  we  were  family
6846,-0.0258,0.133,0.739,0.128,should accept where  have had fights pathizing with  when  my  i  i  live  and dara had  us
6847,0.2263,0.076,0.806,0.118,the  regime encouraged upright citizens to perform their religious duty by reporting acts of immorality to the proper authorities
6848,-0.2023,0.107,0.825,0.068,at some point  dara and then negar burst as  i  trail  until  was no one  we  reached the  inside
6849,0.0772,0.099,0.791,0.111,others had spent days in i  jail  how  lucky  sat tearfully in  we were  to get  or been flogged for lesser offenses
6850,0.0,0.0,1.0,0.0,ther said  267  earlier the  that day when dara chose zorro over rostam and kaveh lieve    your children were born  in this land  i  be  my fa  where you were born  and your father and your fathers father and those before them
6851,-0.875,0.192,0.808,0.0,throughout the eightyear war when tehran had been the target of iraqs offandon  went  to  work  even  ble  bombings and rocket  attacks bijan  as regularly as possi  after a rocket fell close to  his offices causing the building  con  damage and breaking  siderable  all  windows
6852,-0.5994,0.122,0.878,0.0,during the war  were held  spent most of  field  irregularly  my  time  taught two days a  i  home  at  week anyway and  either writing or preparing for  my  classes
6853,-0.5994,0.796,0.204,0.0,of war
6854,-0.5994,0.565,0.435,0.0,war ended on august
6855,-0.827,0.257,0.659,0.084,this was the time to articulate our disillusionment  with a revolution that had not delivered with corrupt leaders failed to  that  who had  bring freedom and prosperity to the country and with a war  had not been won
6856,-0.9419,0.277,0.689,0.034,secularists  war would end  sincerely believed that this  those who  felt  in  cheated were not the  who had guarded  but the former revolutionaries the ones  the streets with guns tried to purge the universities of undesirable el  who  ements gone to war and returned mutilated and without hope
6857,0.872,0.0,0.85,0.15,we  had  be thankful to  to  the regime targeted like  own  hitherto untapped powers  to  women minori  and writers had something to be thankful  realization of their  woolf  the street in a flow  making us question our past and therefore  the islamic republic for  learn about  feel  never again could we take these  went beyond  list  and cultural scene
6858,0.9287,0.0,0.445,0.555,we should be thankful to  freedom  or forough farrokhzad the joy of walking  for granted
6859,-0.296,0.05,0.95,0.0,my father believed that as in the case  of the constitutional revolution change would come to iran through an alliance of the progressive religious and secular forces and that there  would be no  real political  transformation without participation  of both these forces now
6860,0.0,0.0,1.0,0.0,shirin ebadi the  named  to the circuit court  that barred  judges  would become  and lawyer would not only  collaborate with a  young  of inflammatory  cleric  articles  to  be  new laws a  human  another woman mehrangiz kar who had been  cessful journalist  ries  woman  of tehran when defrocked by the  women from becoming  rights lawyer
6861,-0.7615,0.158,0.842,0.0,first  a suc  fight in courts but  mohsen saeedzadeh  in writing a se  regarding womens rights which led to  things ive been silent about endless harassment of  kar and her family and  the jailing of the cleric
6862,0.7906,0.0,0.825,0.175,who  in the first years  a  to the defrocking  religious intellectual  named akbar  of dissent and celebrating the imple  mentation of religious law now over a decade  with a jewish  arendt to whose  or  lic
6863,-0.128,0.052,0.901,0.047,vert them  woman  german  of  work he would turn  a filmmaker  the revolution  and  ganji  of the revolution fought for the islamization of  universities the suppression  affinities  2ji    later  to describe the islamic  named mohsen makhmalbaf who  showed  his films to political prisoners  and claimed  in  found more  named hannah  descent  repub  at the start  hoping  of  to con  an interview that the older filmmakers  who  had been prominent during the shahs time deserved to be executed  would now  me  tell  of the change in his attitude and  say  perhaps  art  can give us the possibility of living several times
6864,-0.0803,0.122,0.774,0.104,it  no power no amount of force could make this genie go back into the bottle
6865,0.0,0.0,1.0,0.0,in the opposite lane cars  tehranis  who had  my  father for a  we saw  streams of  taken refuge by the sea returning home
6866,-0.7184,0.245,0.655,0.1,had really ended tive times  and a sad  this time  we had  trip for us  and sad because  joyous because the war  reminded us of the  spent there before the revolution
6867,0.5994,0.0,0.794,0.206,had been  tionally beautiful place looked as if  it  and the revolution had taken their  toll
6868,0.4019,0.0,0.895,0.105,was used  it  at  night and parties on  had been cordoned off by a clumsy wall and fence and  as headquartersibr the revolutionary guard
6869,-0.802,0.194,0.806,0.0,admonishing  dict brother  mm on her  before he died he would provide her with the kind of life she deserved  which meant using his power of attorney to a desperate frenzy to get  sell  everything  we had
6870,0.0,0.0,1.0,0.0,him  that for  i  couldnt bring myself to  someone who had boasted he would never bend  shah or any other power  it  was demeaning  these people for a piece of land
6871,0.7243,0.0,0.894,0.106,to  work almost  to live comfortably but that  i  would take care of her he  she had given up on the idea of fashion de  he  sign  and he helped her open a business  took  me to the notary to renew his power of attorney so that he could  as  an interior decorator
6872,-0.8481,0.279,0.657,0.063,dreams and desires for  you view  your problem reality  months before  reality the is  way  that  it  his death there  really  is  you  will  you mistake your own  and then you become disillusioned
6873,0.7269,0.0,0.663,0.337,men marry younger women either for sexual pleasures or to be taken care fairs
