,Key,Line
5323,arrested,"yet in  he appears as a naive and simple  father in  cated than  man  an immense  just for  my  father,  arrested and tortured, for the  in the hearts  of the people."
5324,court,"r ;  court, to  ather was set free on  make things  as difficult for  bail in late  him  august of  1966."
5325,bail,"the  as possible, set the bail at 55.5  million tumans (roughly 6.5 million dollars)."
5326,justice,"father writes with ex-  citement and evident pride that he was shocked to see ple flooded the justice  department to put up  crying,"" he writes."
5327,bail,"""i did not  how many peo-  his bail."
5328,bail,"—  watches tyranny in silence and  it  the fact of  its  —through passive  from different walks of life and different  owner of  in time  re-  existence-  those here today to bail  street as well as the  189  \  me  out there were people  religions: the grocer  up the  man  the iran super market, a jewish  with hundreds of millions in capital."
5329,trial,"he was finally released on bail, pending trial."
5330,trial,no trial date was set.
5331,justice,"result  our  at  hand, which he  the justice department was overrun with  ther  and drained, the  re-  me if that happens?"""
5332,jail,finally released  from  jail.
5333,jail,so his  first  stop  go  jail.
5334,law,"""thursday morning azar left for the  visitors at  u.s.,"" father  love with site  wrote  some  in-law had  money and  of azar."
5335,question,"a question  it,  can agree with someone's political stance but dis-  agree in a fundamental  ence  two  ost serious confrontations in  are existential."
5336,guilt,"i  i  could not take  partly out of guilt, because  when we  it  anymore."
5337,freedom,"have the freedom to wear jeans  to  my private notes had gone from ladies' home jour-  nal to betty friedan, in part under the influence of a professor  had become a friend and mentor."
5338,where,"for,  followed  mexico, where she had  i  felt  while  i  moved  real reason for leav-  my professor friend to a to start a  new  career as  at a small college."
5339,court,"i  new mexico when my  september of 1967, one year  earnest, in  would be open; not even  the evidence presented up  my  father's trial started in  after his release  was allowed  father's brother  in court  a fabricated tape  was  it  that  it  to attend."
5340,bail,"the prosecu-  of my father with his greatest detrac-  seyyed mehdi pirasteh, the minister of the  tor,  on bail."
5341,case,but father's was clearly  of the case against him.
5342,question,next day he repeated his question.
5343,question,"peated his question again, and  the mullah  he got to the pulpit, he asked his  and others no."
5344,arrested,my father told know why i was arrested.
5345,court,"he asked  as  the court that this  was  don't."""
5346,court,"father  he stepped  his story: ""i don't  denounced the court and accused certain  name, including pirasteh, of malicious conspiracy."
5347,charge,officials  he went  by  over  every single charge and refuted them one by one and closed with a  poem he had written for the occasion.
5348,trial,"the trial ended on november 27, 1967. all  father was exonerated of  but one charge, insubordination, as a result of which he was  banned from government  service."
5349,court,"that decision would eventually be  reexamined and overturned by the high court, which exonerated him of all charges."
5350,power,"the  that neither  next summer,  my father nor my mother asked me to  when mehdi and  i  returned to tehran,  my parents did everything in their power to make the process easy for me."
5351,power,"my father reminded my husband of my power to ask him for alimony at any time, even if we were  not divorced."
5352,case,"alimony in iran was the  agreed on  at the  money both  sides  time of marriage to be paid to the wife in case of di-  vorce, but that she could claim at any point during the marriage."
5353,jail,"for the  first  to lose everything,  time  father spent in  jail  changed our  my mother was a changed person."
5354,taken,"life settled  lives  how easy it is way we looked at all that we  realized the fragility of life,  and that changed the  had taken for granted."
5355,imprisonment,"hope of a  mohammad  desir-  and  i  he was released he must have decided that since  were out of the question, he would  happy domestic  imprisonment brought on  married and divorced, losing  be seriously unfaithful to able public  life  that  start again:  can say in  new  at eighteen,  demand  but  my  try to  fulfill  mother did not change  his  dream of a  at all."
5356,imprisonment,"and  as  it  turned out, there would be certain personal as well as political conse-  quences to  my father's imprisonment, but it took us eleven more years  to find that out."
5357,where,"remember, he  i  he had  resting  illuminated  so  i  to graduate early said,  you  had always  didn't  before he got too  want  as  soon as  to leave us in the first  an  artificial light  where  i  half  from the lamp."
5358,where,"i  do not regret  home sooner had i gone  barbara, where there was no nascent iranian students' get involved in, and  i  intimate portrait, father and daughter,  stayed at the university of oklahoma."
5359,where,"not even my former husband, who would write me loving letters from iran, advising me how to behave, where to go, what to do, how to preserve my can  integrity."
5360,jail,"he wrote in his diary  ""something she  jail."
5361,taken,"could have been  she  is  always anx-  as the center  of the  he had taken the great-  was  essential to him, to  esfahan  to leave  at eigh-  had a beloved,"" he wrote  ""a space to be alone with her, loyal to one another and joyous  together, but regrettably  i  am getting old and am afraid  that these  remaining days will also pass and the imaginary happiness  few  dreamed  i  of will always be inaccessible."""
5362,jail,"not long  after  he  left jail,  a private textile factory that  recently died."
5363,death,"father  husband's death."""
5364,taken,"mother, who could not keep  away from father's office, had taken a liking to shahin during her regular visits."
5365,death,later father  rahman had informed my  shahin had refused rahman's sexual ad-  liaison after  he told me this after rahman's sudden death in the summer of  1973.
5366,death,father grieved for his death  and  felt that  had he not abused  rahman would perhaps have been  extraordinary powers  his  useful for  himself and those close to him.
5367,war,in the mornings we marched against the vietnam  war and ings.
5368,taken,"202  a^ar nafisi  |  earlier that year opposition to the as  it  shifted  more  shah had taken on a new urgency  from the mainly peaceful methods of the old groups  militant  to the  means of the two new armed revolutionary groups, one marxist and another muslim."
5369,police,"in  an armed uprising in the village of siahkal, a group of marxist guerrillas, called the  organiza-  —  khalgh  tion of fedaian-e  all  young, educated, middle-class  men and women killed in a clash  —were  either  with the police  or apprehended and later executed."
5370,repression,"and in  the middle  class,  it  became more polarized and closed  which had benefited most from the  social transformations,  march of 1975  was  alienated  by  politi-  political  this increased repression."
5371,establishment,"following year he quixotically decided to  shift  the  from the islamic calen-  things i've been silent about dar,  which  starts  with the prophet's  new one based on  from mecca  flight  the establishment of the persian  the great, bringing the year  from  203  \  medina, to a  to  empire by cyrus  1355 to 2535."
5372,establishment,"iran's history  being divided by two polarized political powers: the shah,  was  who more  and more identified his rule with ancient pre-islamic iran, and the ligious establishment, after the  who  arab conquest."
5373,state,"was easy  for a  inside iran, of course,  found myself drawn into the con-  federation of iranian students, one of the most active  ments  re-  defined iranian history as beginning only  there  i  was not  campus move-  treated as a  invited to participate in reading groups  young  on engels's  the origin of the family, private property and the state, marx's eighteenth brumair, and, later, lenin's state  fellows for  tom jones,  persuasion, and winesburg, ohio,  the time classes started  and revolution."
5374,where,hammad had  enrolled at the university of  then transferred  where he got studies at the  somewhat  to paris  first  his  for social research.
5375,police,group  chinese student  secret police  who was  once quiet and persistent.
5376,death,"at  at least  said,  i  remember  face when i came home  we were  with the romance of his leg-  when mao died, in 1976, mother was in we made quite a to-do about his death,  my mother's  and forced  third world committee, organized  with chairman mao, or  and staging memorial meetings."
5377,sink,"""no, no,"" she'd of urgency, ""first wash the sink."""
5378,sink,"like illiterate  continue, following  say with a sense  need to wash the sink?"""
5379,law,"her voice  behind her  sisters treated  comply with  to  zoy  my mother-in-law, justifiably distressed by the ul-  my mother and  to act as emissaries  me  \  at  the defeated generals of a losing army, they head back up-  stairs."
5380,state,"me from mont-  in search  it,  the  ceremony  itself  2o8 i  a^ar nafisi  the morning before civil  ceremony and,  the  in the  wedding we went to  middle of it  all, i  the state  repressible laughter."
5381,law,"while  my sisters-in-law danced, our family stood  smiles, looking  parents accepted with  on the  sidelines  with  silly  on with admiration and perhaps even some envy  at  chapter  22  4£j<ukz^£& 0~<n  b ijan left for paris right after our wedding to talk with group  the leaders of our  there."
5382,repression,"armed  and  militant organizations  in-  creasing repression polarized the opposition's political discourse, radicalizing the student  movement abroad."
5383,guilt,"was  the 1930s,  ties in  dissertation  i  had not had time to in  for  me  mother never  failed to guilt-trip bijan's family  father's footsteps i  was  taken care of store for  her  kill  that  in  at  a  1930s."
5384,state,"""is this what  is  in  mother was  in a terrible state for  reasons."
5385,state,"she genuinely believed that  government agents  bijan, especially  year, president  rights in the state icy."
5386,where,"my daughter for no good  she 'd lament, muttering under her breath that he  of our  my dis-  back to writing  to get  on mike gold and the proletarian writers of the  ""married two weeks and he leaves  her that  find a place  with her to work on  new york, the locus of most radical  good place  a  new york, where my brother was  would move  i  stayed on for two  bijan's  when he  jimmy  traveled in europe."
5387,prisoners,released and the treatment of those in  jails  to imple-  a human-  that the rights outlined  political prisoners  were  improved.
5388,suppression,"in the rain while poets  where the lack of freedom of expresthe last night, soldiers stood outside  and writers spoke of suppression."
5389,state,"and deliberately ignorant of  and yet everything was there  for us to  khomeini's book the rule ofjurisprudence called for the creation  of a theocratic  state ruled  by  nounced women's suffrage  a representative  as a  form of  of god; he had de-  prostitution; he  had made  countless pronouncements against minorities, especially baha'is and  jews."
5390,freedom,we welcomed the vehemence of khomeini's rants against impe-  rialists  and the shah and were willing to overlook the  were not delivered by  a  fact that they  champion of freedom.
5391,state,plied in his public statements that once he returned to iran he retire to the  holy city of  qom  and leave the  affairs  of the  im-  would  state to  politicians.
5392,state,"the confederation of iranian students planned huge demonstrations in  washington, d.c., on november united states bijan,  state visit to the  15, 1977,  who had  france, went directly to washington and  i  during the shah's  just  joined  returned from  him  there."
5393,police,"nearly  two thousand students gathered around the white house, escorted by  mounted tions  police."
5394,death,"different fac-  a few of the shah's de-  fenders had gathered close to the  white house lawn,  drowned out by our  to the shah;  slogans:  death  cia  their voices  agents, u.s. ad-  visors out of iran; iran the next vietnam; u.s. get out of iran."
5395,law,she made another i  phone  call to bijan's  family to complain about her daughter's  frail  and her son-in-law's utter disregard for her well-being.
5396,state,state  a  few days  join bijan.
5397,where,"we  later she  returned to iran and  finally settled in  i  went  to  d.c, where he went  d.c. again to  work  to  for a  my dissertation."
5398,where,"congress, where  i  some mornings  i  would go  to the library of  spent delicious hours looking through old micro-  things i've been silent about films of  and  new masses, and other publications from the me up after work  the masses, the  my  thirties for  213  \  dissertation."
5399,death,"n august 1978, cinema rex in abadan, a port city on the edge of the  oil fields,  was  on  set  fire  dred people were scorched to death."
5400,crime,"and over four hun-  shah's government denied it  was the work of the  both the secular and religious opposition  re-  fired  back, accusing the regime of committing the crime with the express  purpose of blaming them to undermine popular sympathy."
5401,power,"it  was  sig-  had taken place during the holy month of ram-  few people believed what the government said, and the atrocity  became  a  symbol of the lengths  to preserve  to  which the shah's regime would go  power."
5402,crime,photographs of innocent victims  gone to the movies that afternoon stared  at us  a  who had  from the pages of news-  papers and the pamphlets that appeared denouncing the perpetrators  of  most heinous crime.
5403,justice,"after the revolution, the families of the victims  to  their  demanded  justice."
5404,prosecutors,"dismay and surprise the new islamic government ignored  them: their protests and  sit-ins  were attacked, and several prosecutors  resigned in the middle of the investigations."
5405,guilty,"in  some  trumped up  guilty and innocent alike,  cases  —one  it  was  officer  directly involved claimed  blatantly obvious that the charges  who was found  even been present in the city  were arrested and exe-  at the time."
5406,guilty,guilty and executed  were  had not  a young man who had been  he had confessed to the authorities but no  one would take him seriously.
5407,guilty,"the  the shah's police had been guilty of, in this case,  was bad judgment."
5408,crime,"greatest crime  panicked and overwhelmed, they had acted foolishly: seeing a group trying to light a small  fire in a  corner and hoping to catch the culprits  before they could escape, they ordered that the doors be shut until the  by  firefighters arrived."
5409,building,"then, the fire  had spread  to the  whole building  and burned almost everyone."
5410,where,where was i when we  discovered the truth?
5411,where,"had cultivated  a  from his obscurity in  network of clerics and  allies,  karballa,  where he  suddenly he was thrown  onto the world stage."
5412,court,"in  court  january the ministry of in  tehran had published an  article in the official  etelaat,  under the  newspaper, title  ""black  and red imperialism."""
5413,liberty,"the coalition of islamic  ending the  al fetr,  added  societies  to the  slogan ""liberty and independence"" the words ""islamic rule."""
5414,situation,"this desperate situation was further proof to methat marriages did not  cut your losses,  i  work."
5415,power,"""he  meini from gaining more power."""
5416,crimes,"2iy  \  i,  like so  nothing  ""and what  savak, he kho-  will prevent  many  others,  was  for  than the overthrow of  less  started to recount, with the righteousness at-  tendant on such extreme positions,  all  of the crimes committed by the  me and said with disdain that i need not trouble he did not pursue the argument, which of course fired me up even more."
5417,crimes,bijan looked at  myself telling him about the shah's crimes.
5418,where,"n february to  i,  1  979,  khomeini made  a  triumphant return  tehran, where millions flooded the streets to welcome him."
5419,where,"they picked up and left for america, while his younger brothers majid and mehdi, who had been associated with a radical marxist group, returned home from the u.s. for the young generation, my generation, we who had such romantic longings for revolutions and upheavals, the image we saw in the moon was that of a future where, in unison with the proletariat, we would liberate the country and live happily ever  wrong  after."
5420,power,"in a manuscript addressed to his wife, majid describes  how  their  romance flourished during those unreal days between february 1979,  when  when he  ayatollah khomeini returned to iran, and february  asserted his  power over the country."
5421,inside,"that day majid, cles to the  ezatt, hussein,  farahabad garrison  they climbed  inside a tank  and noushin rode  their  motorcy-  to support the insurgent soldiers."
5422,evin,"the  dreaded evin prison, jailers  had  left in  great  haste and in the kitchen they found huge colanders, half-filled with rinsed rice."
5423,power,next they went toward another  power  is  not a divine  gift.
5424,prisons,"prisons, garrisons, and royal palaces had buildings with no extraordinary protection."
5425,power,"it put  beard to hide  its  human  to organize the  on  the  all  the magic was become naked  the shah,  ministers,  were of the human race with no  new power  a clerical turban  has sprayed a  new  and garb and grew a  origin."""
5426,authority,"in his speech introducing bazargan, he referred to himself as a  person  that  i  who had  authority ""through the guardianship [ve/ayat]  have from the holy lawgiver [the prophet]."""
5427,power,"to consolidate his  power, khomeini began to form parallel organizations to the army  and police forces: revolutionary committees and revolutionary militia,  armed organizations whose power was unspecified and unlimited."
5428,crimes,"it wasn't  long before the committees became the guardians of  our morality and began arresting citizens for a whole range of crimes,  from blasphemy music."
5429,ordered,"to possession of alcoholic beverages  on february  decided to declare  1  1th, the  itself neutral  and ordered  return to base."
5430,executed,"and western  supreme military council unanimously all  military personnel to  khomeini and  his provisional  gov-  for several weeks, despite the protests  from human-rights organizations and from the moderate elements within the  new  revolutionary regime, hundreds of officials of the old  regime were summarily executed."
5431,freedom,"attacked unveiled  the  sit-ins,  freedom  is  shouting,  women  ""freedom  is  global."""
5432,punishment,"family protection law was soon abrogated, and religious laws be-  came  the law of the land, lowering the legal age of marriage (for  women) from  eighteen to nine, legalizing polygamy and ""temporary  marriages,"" defrocking female judges, and introducing stoning to  death as punishment for adultery and prostitution."
5433,jailed,"she had received as a  my  with bijan for tehran,  my parents  dissertation, in the i  had few  illusions  had been summoned  mother was ordered  to repay the  wages  member of parliament and most of the property  name was confiscated, but they were not jailed or executed like many other government officials of their rank."
5434,law,my mother's votes  in their  so  against the capitulation law and family protection law as points in her favor.
5435,jail,"father's life  and  his secret service records,  were counted  was saved because of his  which revealed  his alleged  jail  time  sympathy  for the protestors during the  june uprising of 1963."
5436,disaster,sometimes he  would remind us with wonder  that mr.  time in prison would save  him from  rahman had  a bigger disaster  mother would shake her head knowingly.
5437,war,"my parents moved  to a  new house  in the  northern part of tehran, opposite what was once called the american hospital,  which would soon be turned into  a hospital for the veterans  when we moved back bijan and i decided to the arrangement was intended to be temporary, until  of the iran-iraq war."
5438,charged,"many tempo-  mohammad  had  224  a^ar nafisi  i  own  his  the  on fridays  place but he visited often, especially  which were  ents' coffee sessions,  large  room on  the  ground  charged and heated debates: the  my par-  for  in full force."
5439,power,"father  still  his thesis that if  had high hopes for the revolution: he kept repeating  we  could get rid of the two oppressive forces of ab-  monarchy and orthodox  solute  ate secular felt that  and religious  by strengthening the moder-  religion  forces,  we would be on  prime minister bazargan had the power and the  the democratic-minded groups and individuals into  lusion that  at  was soon put  this point  he  the right course."
5440,jail,"number of colleagues and  friends  were  killed  mr. amirani, the editor in chief of khandanyha,  my  by the new  father so bravely during his years in  good-natured mr. khoshkish,  my  jail,  by the regime  who had  supported  and the soft-spoken and  mother's bashful suitor,  who had  been the head of the central bank, were both murdered without trial or formal charges."
5441,jails,"things i've been silent about  who had been instrumental,  parsa; general pakravan,  saving ayatollah khomeini's  and many others  who had  cluding some, like  my  life in  in fact  incidentally, in  1963; our old foe general nassiri;  been against the shah's system,  cousin said,  225  who had  in-  spent time in the shah's  later the killings would extend to ordinary people whose sin was  jails."
5442,question,"n the first friday  in question  the time the  1979,  4,  the regime rounded up  be prostitutes, as well as some minori-  to  especially the baha'is."
5443,where,she met her on a  visit to  where ziba khanoom was on the administrative  mother had taken an  staff.
5444,war,"—  chapter  can cite the dates when the war with iraq tember  and ended (august  22, 1980)  casualties  were high, but  20, 1988),  when  feel helpless  i  and  it  i  started (sep-  can  comes  24  tell  you the  to describing  the subtle changes that transformed the fabric of our lives, so that  down  could walk  the familiar streets of my childhood and feel like an  utter stranger."
5445,freedom,"now i had  more freedom,  to  make us more  returned and nothing was the same."
5446,war,cannot think of that this  was  a  the iran-iraq  war without remembering  war between two governments who were simultane-  ously carrying out a brutal campaign against their tollah  khomeini had  called the  war  a blessing; for  own him  people.
5447,war,"in his  mind,  now  vader while  lasted,  some of tervals  was  at the  same time the  name of national  sent in the  war  whole nation would gather against the foreign  the  state  security."
5448,state,on  to us with a sign  doesn't the koran  their forehead  state that  satan  is  tempter with an insidious smile?
5449,locked,i  re-  finding a refuge in a nearby bookstore seconds before the  owner locked  the doors and  we  to avoid the bullets.
5450,arrested,"many  stood behind them, representing different student  groups and tendencies, would be expelled, arrested, and executed."
5451,question,"start criticizing the  regime,  could any of us have foreseen  how some would become enamored of jane austen and f. scott fitzgerald, spinoza and hannah arendt, and begin to question the tenets of the regime they had so ardently supported?"
5452,jailed,"soon they would be asking for secularism and democracy, the ones arrested, jailed, and executed."
5453,gate,"2j2  a{ar nafisi  |  the turmoil just outside the gate,  when  i  heard a loud whisper behind  me: ""professor!"""
5454,term,"i  believing in  the point of novels,""  end of the term  girls in  book's immorality: she  after class to protest the  ing for four hundred years?"
5455,sentence,was  at  the pause between my  times so long that  i  last  sentence and her response  thought she had forgotten  we were  con-  things i've been silent about  her  versing.
5456,where,i  funny  the  most basic choices  where  to  now that i  work.
5457,term,and the term ended.
5458,state,many  clerics did not believe that the religious  establishment should interfere directly with the affairs of state.
5459,state,for centuries the clerics  had exerted power by pressuring the  state  and  posing as supporters of the poor and the needy.
5460,power,"although khomeini seized  power in  religion  the  name of tradition, his  was modern and, according  to  ideological interpretation of  some, antitraditonal,  influ-  enced by modern totalitarian ideologies."
5461,state,"in tabriz a million people reportedly participated in demonstrations in  support of ayatollah shariatmadari, tion of religion  and  state,  which he  who was insisted  calling for the separa-  was one of the corner-  stones of shia islam."
5462,jailed,the venerable ayatollah  shariatmadari was defrocked and jailed.
5463,arrest,"his supporters were arrested  and some murdered, and he died while under house ber that  when khomeini was  in trouble  arrest."
5464,power,"message was sent by the regime to the  faithful: to survive  they would have to be loyal to only one interpretation of the to accept the  father  new political  the  way  ""no  end of islam  in  our country, and he  foreign power,"" he said, ""could destroy islam  these people have."""
5465,serving,"she would count all  at the universities to  from participating  in sports,  activities at  to join her  and her  'they' are  the injustices  committed against women: banning them from serving ciary,  and  faith,  of the clergy."
5466,law,"rtfle  in the judi-  abrogating the family protection  law (she conveniently forgot that she had herself voted against  it),  lowering the age of marriage, and on and on she would go."
5467,torture,"""and then what did your haideh say  to  egging  me  on  the committee  the cultural revolution,"" she ask,  friend  would  on, and before  i  could say anything she would turn  and say triumphantly,  woman,  ""and  this  azar's colleague, gets up  and says, 'you have turned the universities, the bastions  into torture houses.'"
5468,question,"felt that this  was not the time  237  \  to fight for such  unimportant matters when the question of independence and the antiimperialist struggle  morning, shirin  was  was  said that ayatollah  rastin) while the  version,  on  one particularly memorable  khomeini represented the true  my  faith  tell  us  who  is  my  a false  ""who  mother."
5469,question,"khanoom raised the question of ""authentic islam."""
5470,guilty,"sometimes  though we had  in  i  it  appeared that  al-  more opportunities and freedoms than our mothers  had, our problems were basically the same: abusive husbands, aborted love, guilty feelings about the conflict  between work and family, un-  resolved sexual problems and resentments."
5471,freedom,i  need of conversations that did not end  had come  to  freedom.
5472,jail,is  he was ever more jail.
5473,war,"there  in sight to the war,  nor  long after  cated and  he came  said."
5474,situation,"in hiding,  escaping the country,  my own  situation."
5475,where,"and now that the world had become so puzzling,  —  things i've been silent about so hostile,  where  else  could  i  go?"
5476,war,"""if  you  call  in  hand,"" he offered), too convoluted for  war and peace or a  he said kindly, ""then you cannot  call  tale  of two  cities a novel,""  these books novels as well, with-  out a plot, with such vague characters ...""  both novels were banned by the islamic republic for their sexually and  explicit scenes  gion."
5477,flogged ,i  could not help  between the impotent torturers and the  tured murderers of the two novellas and those vigilantes  tor-  who flogged  teenage girls for showing a bit of hair.
5478,where,where would we go from here?
5479,state,"true, these free zones were  threatened constantly by a state that could at any time of day or night raid  our houses and confiscate the alcohol, gambling cards, makeup,  forbidden books, and videos."
5480,arrest,"they could  arrest us  on charges of im-  and yet in those days there was a suppressed excitement that or, now that i think of it, perhaps the two belied the anxiety and fear morality."
5481,war,"while the country was torn apart  things i've been silent about  by war and besieged by repressive laws, daily  arrests,  245  \  and executions,  beneath the surface, just underground, there were mutinous acts and  shows of resistance that constantly frustrated and subverted the  power of the with  an act as normal and mundane as having a party women where drinks were served, music was played,  state."
5482,crime,"""i was not doing any of these, but what  i  amoo  was going  to  do was not  less  of a crime."""
5483,taken,"said shared in the exhilaration of what had not existed be-  we were trying to preserve what had been taken away from us, and there was a sense of jaded desperation to this."
5484,where,"we had reached a stage where we wanted to preserve what we had, not strive for what we might dare to fore."
5485,case,in  our case  imagine.
5486,jailed,us for drinking and  denouncing the decadent  them around the house  jailed for  he  at  friendlier.
5487,arrested,agen-  with the islamic regime that culminated  after confrontations  bloody demonstration during which many of  porters  political  organization had been  their group's sup-  were arrested and summarily executed.
5488,taken,"as them,  248  a{ar nafisi  |  in tehran said and fariba were taken in for a few months by a couple,  who were  secular,  and she opposed the ideology and  also  our close friends."
5489,case,"little  only anxiety on  is  will  i  have  uneasily,  a feeling, in  your case,  it is  love."""
5490,slam,"then they  and  we  walked down  bend, until  heard the front door slam and they emerged,  i  orphaned children in a  terrible fairy tale,  shook  the steps,  stood up there watching them appear and disappear  i  249  \  at  each  like  two  walking very close to one  another, almost touching, he with his ivory shirt, she with her multi-  we never saw them again."
5491,death,"of marriage: 1975, date of death: blank."
5492,prison ,for almost two years their parents would come to tehran from esfahan every  month and make  their  way  to  evin prison  in  order to in-  z5o  |  a\ar nafisi  quire about said and fariba.
5493,arrested,"they escaped the country, they  had no reason  their parents  they had been arrested."
5494,arrested,"daily arrested  friends,  had been  and  killed  or had escaped the country."
5495,death,"later,  ory,  now  on  their son's death."
5496,prisons,"than two years after storming the  prisons,  my  cousin majid was also on the run."
5497,arrested,"his sister noushin and their spouses, hussein and ezatt, had been arrested."
5498,executed,hussein  was executed.
5499,execution,noushin's execution was delayed because she was pregnant.
5500,freed,"her mother,  a painter,  freed."
5501,freed,"ing, she didn't  had put small  she told us that when she was called  know whether  ezatt, majid's wife,  in that  morn-  she was to be freed or executed."
5502,executed,was executed.
5503,arrest,"majid  writes of wandering around the city after her arrest, the  he and his comrades had  felt  they had conquered."
5504,prisoners,"after her execution she was buried in a special cemetery assigned to political prisoners and minorities, called the cemetery of the infidels,  where bodies were thrown  ited the spot  with her father,  marking her grave:  it is  who  into  told  eight paces  unmarked  him  that he  graves."
5505,wall,majid vis-  had  his  own way of  from the gate and sixteen paces  toward the wall.
5506,executed,she was executed and buried collectively with two  women and fifty men.
5507,war,"the warrior  rostam, son of hormozd, gives a poignant speech, predicting the sults  of that war,  sent  is  known  as the battle  i  who says our pre-  not already written by our past?"
5508,where,"the winter  counterfeit  and the spring  will pass mankind unmarked, no one will bring  the wine  to celebrate  such moments then;  men  instead they'll spill the blood offellow  majid went into hiding and later l.a.,  where  his older brother  since the early seventies,  sitting  ."
5509,death,"he had not written poetry  when he went  into politics, but he started to  write again three days after ezatt's death, to the  ."
5510,death,"""i  wanted  down to  his face,  avenge your death,""  he writes, ""i wanted to have you close to me."
5511,state,"and  keep us in a  to  state  remained frozen in time  after saifi's death,  dreams, and she acted like a young next day  my  father  girl  of his  jilted bride."
5512,jail,"in  to leave  the  first,  a successful public fig-  right to leave the  when he was  seemed ungrateful  jail  my mother would  he says that every  some consideration prevented him:  were too young."
5513,jail,would he have  jail  woman who had there  was no time  someone who had  suf-  time with him.
5514,building,"soon  after bijan  and  i  returned from america, father sold the house and built a three-story building with three separate apartments, one each for  mother, and me."
5515,taken,"his attitude was: for years  i  my brother, my  have taken care of her,  256  a^ar nafisi  |  now  it's  your turn."
5516,case,the kitchen and hall opened into an internal stair-  but there cess to case.
5517,locked,"observer, bijan or shahran,  fair  locked these doors, which  there."
5518,taken,"the revolution had taken  away her peer support group, her freedoms  now, without her husband,  who  as father, steward, accountant, her."
5519,injustice,\  its  end  her time  left  as a  mem-  her more embit-  alone with her pride and her anger and her  left  sense of solitary injustice.
5520,where,"he es-  corted  he  news  me  said,  to the  room where  ""our brave  little  very determined."""
5521,war,"the war continued for another  a{ar nafisi  260 i  three years, and during the last year, incessant  did  i  bombings and many fled the  when tehran was city,  the target of  we stayed on."
5522,taken,"i  tainted  think in fact they have not changed much,  and dara with  infinite curiosity,  think of my  i  by  mother,  tragic, but  right  way  reality,  we  father's  his quiet desire to  dream of a happy marriage,  now  —  my  for  when we  had taken  lost his  of dignity and  indulge in a dream."
5523,court,"she had destroyed her own marriage, and when there was a danger that my father might be arrested  him  driven voice  by the revolutionary guards, she had given him to the revolutionary court."
5524,question,"once,  a startling question,  of me."
5525,question,"but  prefer,  said nothing  and he did not pursue the  when a few weeks later he broke off with  i  a question, wasn't he going  ziba,  i  subject."
5526,guilty,i  bought some from her and  felt  slightly guilty.
5527,prisoner,"he  tried to  convince  me that she was op-  — 262  a^ar nafisi  |  who  pressed by her horrid husband,  held her prisoner and did not  my father always seemed to need an excuse with my mother it was her dead mother, her ter-  allow her to use her talents."
5528,absentia,she had been granted a divorce in absentia.
5529,court,"many  notices and she had ignored  which informed her  one  thing  all,  ""he has  my father insisted that  the  court had served her  including the  last notice,  that if she did not appear in court the divorce  would automatically go through."
5530,court,summoned  to court  my parents  had never quarreled about was money.
5531,jail,"my  my  me  brother and  left  had sold  in jail,  but she did not question his in-  parents' apparent disdain for careless too."
5532,jail,"near the caspian sea out of his  own money, and  later  two  islands  which he shared with some friends and some acres of land by the  my  caspian with  pay  his debts  he ever had  uncle,  when he  in  some of which he had been forced  left jail."
5533,transferred,"he made more money in business  government, and  ents had transferred  to sell to  than  my brother and i knew that our par-  most of the land and property they owned  to  our  names, including a large apartment in one of the best locations in paris."
5534,taken,he  his adult life  all  sent in letters  and he had taken  his share  and given  with detailed accounts of what had been  purchased and what had been spent and insisted that he had not taken anything with him.
5535,power,"but in the meantime he had us authorize him to sell  had power of attorney over  the apartment in france and he  the  all  me and my brother and, after my brother me alone for not defending her, for conspiring with father to  other property."
5536,power,"despite  genuinely  felt  my sympathy and the fact that for the first some of her  she was justified in  grievances,  i  could not bring myself to extract the power of attorney from him."
5537,where,in its cage  one morning  she  and that whole day and night she  after the persian  new year and father took negar  where they buried the canary by  his favorite rosebush.
5538,where,"the picture of a  to  twenty minutes from our house where  outskirts of tehran, about  there  i  we  were  family."
5539,where,should accept where  have had fights pathizing with  when  my  i  i  live  and dara had  us.
5540,authorities,the  regime encouraged upright citizens to perform their religious duty by reporting acts of immorality to the proper authorities.
5541,inside,"at some point  dara and then negar burst as  i  trail,  until  was no one  we  reached the  inside."
5542,jail,others had spent days in i  jail  how  lucky  sat tearfully in  we were  to get  or been flogged for lesser offenses.
5543,where,"ther said,  267  earlier, the  that day when dara chose zorro over rostam and kaveh, lieve  \  ""your children were born  in this land  i  be-  my fa-  where you were born,  and your father and your father's father and those before them."
5544,war,"throughout the eight-year war, when tehran had been the target of iraq's off-and-on  went  to  work  even  ble,  bombings and rocket  attacks, bijan  as regularly as possi-  after a rocket fell close to  his offices, causing the building  con-  damage and breaking  siderable  all  windows."
5545,war,during the war  were held  spent most of  field  irregularly;  my  time  taught two days a  i  home  at  week anyway and  either writing or preparing for  my  classes.
5546,war,of war.
5547,war,war ended on august.
5548,war,"this was the time to articulate our disillusionment  with a revolution that had not delivered, with corrupt leaders failed to  that  who had  bring freedom and prosperity to the country, and with a war  had not been won."
5549,war,"secularists,  war would end  sincerely believed that this  those who  felt  in  cheated were not the  who had guarded  but the former revolutionaries, the ones  the streets with guns, tried to purge the universities of undesirable el-  who  ements, gone to war and returned mutilated and without hope."
